image_path,error_type,class_id,class_name,score,iou
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_104_png.rf.f1d63948496e43aa84b28972b5ed9765.jpg,false_positive,22,info_crosswalk,0.943556,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_106_png.rf.3b96ef64a5d76fe20a53d2bbd000d91b.jpg,false_positive,37,mand_straight_right,0.47023,0.915418
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_109_png.rf.b48687af751e7d30b3aa82d8feb6df87.jpg,false_positive,24,info_one_way_traffic,0.961094,0.435666
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_109_png.rf.b48687af751e7d30b3aa82d8feb6df87.jpg,false_positive,22,info_crosswalk,0.800479,0.463848
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_109_png.rf.b48687af751e7d30b3aa82d8feb6df87.jpg,false_positive,21,info_bus_station,0.733511,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_109_png.rf.b48687af751e7d30b3aa82d8feb6df87.jpg,false_positive,22,info_crosswalk,0.417779,0.92429
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_109_png.rf.b48687af751e7d30b3aa82d8feb6df87.jpg,false_negative,22,info_crosswalk,,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_109_png.rf.b48687af751e7d30b3aa82d8feb6df87.jpg,false_negative,24,info_one_way_traffic,,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_109_png.rf.b48687af751e7d30b3aa82d8feb6df87.jpg,false_negative,24,info_one_way_traffic,,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_109_png.rf.b48687af751e7d30b3aa82d8feb6df87.jpg,false_negative,44,warn_cyclists,,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_111_png.rf.07a0d2634e21d83867f63ac13bd2bf72.jpg,false_positive,35,mand_straigh_left,0.354655,0.924225
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_121_png.rf.2b2986b081d7593f620748f26f66b395.jpg,false_positive,37,mand_straight_right,0.377586,0.914488
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_142_png.rf.99a348c467e67a341e808306c62f5d7a.jpg,false_positive,0,forb_ahead,0.356921,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_208_png.rf.ceb34de645c4357e66fefc3c7992338e.jpg,false_positive,8,forb_speed_over_30,0.612626,0.855066
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_216_png.rf.ab8e031d13861da7056ef106ebfcf9b9.jpg,false_negative,22,info_crosswalk,,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_216_png.rf.ab8e031d13861da7056ef106ebfcf9b9.jpg,false_negative,24,info_one_way_traffic,,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_227_png.rf.e3b58baf770b6433be58c884653d52ef.jpg,false_positive,22,info_crosswalk,0.455399,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_227_png.rf.e3b58baf770b6433be58c884653d52ef.jpg,false_negative,25,info_parking,,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_27_png.rf.67531d8f3f1abb8e2ed4a5e637b1c3ad.jpg,false_positive,35,mand_straigh_left,0.509588,0.836811
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_27_png.rf.67531d8f3f1abb8e2ed4a5e637b1c3ad.jpg,false_positive,36,mand_straight,0.396443,0.863049
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_36_png.rf.9237114eef890efd8efe06434bac99eb.jpg,false_positive,50,warn_speed_bumper,0.986814,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_38_png.rf.61438c17bbb24b828081b12e2f97f5be.jpg,false_positive,24,info_one_way_traffic,0.99491,0.021941
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_38_png.rf.61438c17bbb24b828081b12e2f97f5be.jpg,false_positive,22,info_crosswalk,0.994131,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_40_png.rf.4d41c777c3da41ab953178d80eac3471.jpg,false_positive,16,forb_stopping,0.438577,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_40_png.rf.4d41c777c3da41ab953178d80eac3471.jpg,false_positive,3,forb_right,0.314424,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_40_png.rf.4d41c777c3da41ab953178d80eac3471.jpg,false_positive,22,info_crosswalk,0.256016,0.840841
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_40_png.rf.4d41c777c3da41ab953178d80eac3471.jpg,false_negative,16,forb_stopping,,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_53_png.rf.9344e10c37608f3c5d3fd377cf0c01cf.jpg,false_positive,46,warn_other_dangers,0.782051,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_66_png.rf.20792a03a22b3cb48ff426cd19bca4c6.jpg,false_negative,42,warn_construction,,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_85_png.rf.9371597a191428b3f590ac8e405ea7b6.jpg,false_positive,22,info_crosswalk,0.952563,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_85_png.rf.9371597a191428b3f590ac8e405ea7b6.jpg,false_positive,41,warn_children,0.528267,0.788399
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_85_png.rf.9371597a191428b3f590ac8e405ea7b6.jpg,false_positive,0,forb_ahead,0.402084,0.0
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_85_png.rf.9371597a191428b3f590ac8e405ea7b6.jpg,false_positive,44,warn_cyclists,0.302599,0.827452
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_85_png.rf.9371597a191428b3f590ac8e405ea7b6.jpg,false_positive,43,warn_crosswalk,0.294487,0.010152
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_88_png.rf.7075836fdab6053b1f01184108ef9c77.jpg,false_positive,1,forb_left,0.43943,0.0
