image,tp,fp,fn,predictions,ground_truth,visualization
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_0_png.rf.3aa566303b61b1f71bb70abeb0561c65.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_0_png.rf.3aa566303b61b1f71bb70abeb0561c65.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_104_png.rf.f1d63948496e43aa84b28972b5ed9765.jpg,1,2,0,3,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_104_png.rf.f1d63948496e43aa84b28972b5ed9765.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_106_png.rf.3b96ef64a5d76fe20a53d2bbd000d91b.jpg,1,2,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_106_png.rf.3b96ef64a5d76fe20a53d2bbd000d91b.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_107_png.rf.803ceb32535d28d05a70cb13d29d4186.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_107_png.rf.803ceb32535d28d05a70cb13d29d4186.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_109_png.rf.b48687af751e7d30b3aa82d8feb6df87.jpg,4,4,1,8,6,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_109_png.rf.b48687af751e7d30b3aa82d8feb6df87.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_111_png.rf.07a0d2634e21d83867f63ac13bd2bf72.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_111_png.rf.07a0d2634e21d83867f63ac13bd2bf72.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_113_png.rf.a3cb0e4e0656f2cd244283c9cb9d0846.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_113_png.rf.a3cb0e4e0656f2cd244283c9cb9d0846.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_118_png.rf.866cf7405e1b5645cf036459cf5e8ce6.jpg,0,0,0,0,0,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_118_png.rf.866cf7405e1b5645cf036459cf5e8ce6.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_119_png.rf.3e4e0210eb1910ba7b6597c5e0d95410.jpg,0,1,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_119_png.rf.3e4e0210eb1910ba7b6597c5e0d95410.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_121_png.rf.2b2986b081d7593f620748f26f66b395.jpg,1,2,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_121_png.rf.2b2986b081d7593f620748f26f66b395.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_127_png.rf.e9f9cc835fae8f9a92fc3e4a4c0cc728.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_127_png.rf.e9f9cc835fae8f9a92fc3e4a4c0cc728.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_133_png.rf.293e84cf9acacb45aee1c77563d403ea.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_133_png.rf.293e84cf9acacb45aee1c77563d403ea.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_138_png.rf.867708c68ba891033bc3bb034c8b0168.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_138_png.rf.867708c68ba891033bc3bb034c8b0168.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_142_png.rf.99a348c467e67a341e808306c62f5d7a.jpg,2,1,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_142_png.rf.99a348c467e67a341e808306c62f5d7a.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_154_png.rf.bdef90d16a47d372d2c2083c7b1bb97d.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_154_png.rf.bdef90d16a47d372d2c2083c7b1bb97d.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_155_png.rf.dc515b1087e3aec619f1ce96db9005a3.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_155_png.rf.dc515b1087e3aec619f1ce96db9005a3.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_156_png.rf.88db37436a0c8556a5bf2fee0fa08875.jpg,0,0,0,0,0,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_156_png.rf.88db37436a0c8556a5bf2fee0fa08875.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_170_png.rf.b43acd56270255a9800cfd324042e4a9.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_170_png.rf.b43acd56270255a9800cfd324042e4a9.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_176_png.rf.fbce1a412eeb10d6ef18f2c9e596d547.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_176_png.rf.fbce1a412eeb10d6ef18f2c9e596d547.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_19_png.rf.ce3ad4d1b7441e44466057de48896b9f.jpg,0,2,0,2,0,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_19_png.rf.ce3ad4d1b7441e44466057de48896b9f.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_1_png.rf.34992cea903ef898620db310feafc84e.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_1_png.rf.34992cea903ef898620db310feafc84e.jpg
data\traffic-signs\valid\images\AUTO_COLLECTED_PICTURE_208_png.rf.ceb34de645c4357e66fefc3c7992338e.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\AUTO_COLLECTED_PICTURE_208_png.rf.ceb34de645c4357e66fefc3c7992338e.jpg
