epoch,train_loss,learning_rate,epoch_time_seconds
1,0.408709,0.005,154.346
2,0.224501,0.005,154.052
3,0.18522,0.005,152.804
4,0.1494,0.005,152.547
5,0.131637,0.005,153.91
6,0.111106,0.005,151.801
7,0.098297,0.005,151.536
8,0.090068,0.005,151.872
9,0.080429,0.005,152.112
10,0.074273,0.0005,151.79
11,0.046058,0.0005,152.265
12,0.041133,0.0005,151.752
13,0.039405,0.0005,151.94
14,0.037625,0.0005,151.738
15,0.036667,0.0005,152.024
16,0.035644,0.0005,151.667
17,0.034995,0.0005,149.852
18,0.034117,0.0005,149.775
19,0.03356,0.0005,150.061
20,0.032745,5e-05,151.904
21,0.030661,5e-05,152.262
22,0.030532,5e-05,152.129
23,0.030299,5e-05,152.081
24,0.030146,5e-05,152.0
25,0.03004,5e-05,152.12
26,0.029931,5e-05,151.856
27,0.029866,5e-05,152.153
28,0.030045,5e-05,152.09
29,0.029627,5e-05,151.96
30,0.029721,5e-06,151.984
