epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,181.231,0.87952,1.73411,0.23911,0.62505,0.17858,0.11315,0.09804,0.19724,1.9137,0.05922,5.61949e-05,5.61949e-05,5.61949e-05
2,348.431,0.25092,1.12318,0.02878,0.47992,0.50429,0.36766,0.29677,0.21072,0.94165,0.06317,0.000108815,0.000108815,0.000108815
3,512.466,0.22951,0.78645,0.02509,0.53149,0.57386,0.5468,0.43583,0.22104,0.77405,0.07122,0.000157717,0.000157717,0.000157717
4,685.178,0.22271,0.6468,0.024,0.52194,0.70881,0.65877,0.5321,0.21368,0.64405,0.06921,0.000152269,0.000152269,0.000152269
5,858.763,0.21878,0.56201,0.02319,0.61435,0.75429,0.72845,0.58744,0.21076,0.56542,0.06734,0.000146692,0.000146692,0.000146692
6,1032.58,0.21399,0.50405,0.0223,0.69613,0.76474,0.77608,0.62442,0.21209,0.52076,0.06992,0.000141115,0.000141115,0.000141115
7,1205.83,0.20567,0.4665,0.02207,0.72745,0.8019,0.79956,0.63826,0.21868,0.48144,0.07081,0.000135538,0.000135538,0.000135538
8,1379.07,0.20961,0.43911,0.02117,0.72715,0.82618,0.83684,0.66583,0.22393,0.47445,0.07285,0.000129961,0.000129961,0.000129961
9,1553.76,0.20228,0.41927,0.02168,0.73234,0.82487,0.84168,0.67706,0.21646,0.47335,0.07335,0.000124384,0.000124384,0.000124384
10,1729.79,0.20397,0.40215,0.02106,0.74338,0.83562,0.84332,0.67359,0.22065,0.46036,0.07458,0.000118807,0.000118807,0.000118807
11,1904.78,0.19775,0.38716,0.02008,0.80111,0.82977,0.85446,0.67,0.22546,0.45131,0.07332,0.00011323,0.00011323,0.00011323
12,2080.3,0.19684,0.37926,0.02062,0.84641,0.80674,0.85512,0.67647,0.22668,0.44719,0.07542,0.000107653,0.000107653,0.000107653
13,2256.52,0.19724,0.36497,0.01987,0.81804,0.83738,0.87473,0.69167,0.22392,0.4421,0.07485,0.000102076,0.000102076,0.000102076
14,2432.98,0.1914,0.34899,0.02008,0.83787,0.82009,0.86668,0.68124,0.22432,0.44809,0.07384,9.6499e-05,9.6499e-05,9.6499e-05
15,2608.22,0.19307,0.34773,0.01985,0.85917,0.83391,0.86633,0.68832,0.21988,0.43866,0.07193,9.0922e-05,9.0922e-05,9.0922e-05
16,2783.72,0.19094,0.3358,0.0198,0.84746,0.84525,0.87404,0.68124,0.23381,0.42482,0.07696,8.5345e-05,8.5345e-05,8.5345e-05
17,2959.21,0.18853,0.3327,0.01925,0.81723,0.83173,0.86371,0.66472,0.24227,0.44747,0.08329,7.9768e-05,7.9768e-05,7.9768e-05
18,3134.73,0.18279,0.31888,0.0192,0.87048,0.84965,0.89069,0.70025,0.23038,0.41985,0.07703,7.4191e-05,7.4191e-05,7.4191e-05
19,3310.45,0.18428,0.31241,0.01895,0.84985,0.85132,0.86992,0.68973,0.22175,0.4313,0.07288,6.8614e-05,6.8614e-05,6.8614e-05
20,3485.77,0.18554,0.3146,0.01884,0.85868,0.83884,0.87855,0.68775,0.23105,0.42962,0.07618,6.3037e-05,6.3037e-05,6.3037e-05
21,3603.86,0.17962,0.31974,0.03744,0.82364,0.87379,0.89087,0.78817,0.15428,0.38645,0.04995,5.746e-05,5.746e-05,5.746e-05
22,3700.2,0.16944,0.3176,0.03524,0.81677,0.86032,0.88491,0.78381,0.15554,0.39493,0.05022,5.1883e-05,5.1883e-05,5.1883e-05
23,3796.68,0.16734,0.30532,0.03434,0.85734,0.84108,0.89474,0.79486,0.15236,0.38302,0.05008,4.6306e-05,4.6306e-05,4.6306e-05
24,3893.45,0.16971,0.29452,0.03444,0.86463,0.86652,0.9055,0.80098,0.1543,0.36981,0.05079,4.0729e-05,4.0729e-05,4.0729e-05
25,3981.07,0.16419,0.29045,0.03393,0.85018,0.85065,0.89651,0.794,0.15321,0.37201,0.05017,3.5152e-05,3.5152e-05,3.5152e-05
26,4067.21,0.16637,0.28607,0.03408,0.84759,0.87059,0.89997,0.79497,0.15402,0.36789,0.05095,2.9575e-05,2.9575e-05,2.9575e-05
27,4153.39,0.16572,0.27739,0.03382,0.85675,0.85765,0.89857,0.79689,0.15305,0.36373,0.05005,2.3998e-05,2.3998e-05,2.3998e-05
28,4239.56,0.1644,0.2754,0.0333,0.87772,0.86784,0.90419,0.80068,0.15329,0.36496,0.04995,1.8421e-05,1.8421e-05,1.8421e-05
29,4325.61,0.16032,0.26791,0.03232,0.86372,0.86134,0.90532,0.80364,0.15183,0.36161,0.04925,1.2844e-05,1.2844e-05,1.2844e-05
30,4411.38,0.16044,0.26917,0.03242,0.87096,0.85819,0.90481,0.8035,0.15172,0.36128,0.04932,7.267e-06,7.267e-06,7.267e-06
