epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7416,0.94138,8.28456,0.00342,0.00752,0.31166,0.01228,0.01075,0.6735,9.37289,0.0039,5.60572e-05,5.60572e-05,5.60572e-05
2,58.0791,0.90517,7.19019,0.00329,0.493,0.07038,0.05594,0.04871,0.66999,8.29424,0.00402,0.000108682,0.000108682,0.000108682
3,80.985,0.89674,6.27974,0.00315,0.55652,0.12815,0.10811,0.09426,0.64022,7.48058,0.00379,0.000157588,0.000157588,0.000157588
4,103.405,0.86525,5.58411,0.00311,0.52548,0.19565,0.15304,0.13408,0.6404,6.75803,0.00391,0.000152269,0.000152269,0.000152269
5,127.516,0.86369,5.06371,0.00314,0.51965,0.21051,0.19617,0.17156,0.62717,6.09336,0.00384,0.000146692,0.000146692,0.000146692
6,149.994,0.8522,4.67093,0.003,0.44994,0.26295,0.23192,0.20184,0.63391,5.61008,0.0039,0.000141115,0.000141115,0.000141115
7,172.521,0.83283,4.34283,0.00296,0.40073,0.3114,0.26941,0.23424,0.62446,5.0684,0.00383,0.000135538,0.000135538,0.000135538
8,195.617,0.83256,3.96522,0.00294,0.39954,0.34065,0.2958,0.25847,0.62367,4.69233,0.00397,0.000129961,0.000129961,0.000129961
9,218.084,0.80605,3.7527,0.00304,0.45563,0.35516,0.3408,0.29585,0.64164,4.29632,0.00411,0.000124384,0.000124384,0.000124384
10,241.583,0.81562,3.42427,0.00292,0.42403,0.36396,0.36197,0.31556,0.61691,3.94919,0.00381,0.000118807,0.000118807,0.000118807
11,265.002,0.82075,3.24551,0.00291,0.37627,0.42475,0.37804,0.33155,0.60519,3.6677,0.00373,0.00011323,0.00011323,0.00011323
12,286.963,0.81045,3.034,0.00279,0.40743,0.42974,0.39136,0.34431,0.5845,3.41493,0.00356,0.000107653,0.000107653,0.000107653
13,310.457,0.7982,2.92483,0.00282,0.46155,0.43174,0.42111,0.37042,0.60813,3.19903,0.0038,0.000102076,0.000102076,0.000102076
14,333.274,0.79833,2.7219,0.00288,0.44666,0.46076,0.42325,0.37088,0.61319,3.02638,0.00392,9.6499e-05,9.6499e-05,9.6499e-05
15,356.408,0.79485,2.59593,0.00279,0.45382,0.46547,0.45042,0.39794,0.59553,2.84337,0.00374,9.0922e-05,9.0922e-05,9.0922e-05
16,379.747,0.7775,2.48448,0.00272,0.42412,0.48548,0.45579,0.4016,0.59614,2.68738,0.00368,8.5345e-05,8.5345e-05,8.5345e-05
17,401.587,0.77309,2.39592,0.00273,0.49612,0.46201,0.47133,0.41656,0.58157,2.54852,0.00358,7.9768e-05,7.9768e-05,7.9768e-05
18,424.793,0.77446,2.32744,0.00272,0.46137,0.48124,0.46309,0.41015,0.57591,2.45841,0.0035,7.4191e-05,7.4191e-05,7.4191e-05
19,447.421,0.75679,2.23907,0.00273,0.45755,0.50033,0.47787,0.42202,0.58636,2.37913,0.00365,6.8614e-05,6.8614e-05,6.8614e-05
20,470.039,0.76433,2.19217,0.00268,0.49361,0.50897,0.48991,0.43479,0.57541,2.2775,0.00348,6.3037e-05,6.3037e-05,6.3037e-05
21,516.564,0.67974,2.22598,0.00277,0.4534,0.49984,0.48333,0.4251,0.58739,2.19562,0.0036,5.746e-05,5.746e-05,5.746e-05
22,538.206,0.67481,2.15421,0.00275,0.49461,0.49384,0.49248,0.435,0.58099,2.11395,0.00353,5.1883e-05,5.1883e-05,5.1883e-05
23,561.075,0.66156,2.06156,0.00268,0.4546,0.52762,0.49829,0.44072,0.58412,2.05158,0.00357,4.6306e-05,4.6306e-05,4.6306e-05
24,584.171,0.66364,1.99584,0.00268,0.49658,0.51207,0.50779,0.45022,0.57092,1.99979,0.00346,4.0729e-05,4.0729e-05,4.0729e-05
25,607.051,0.66059,1.96543,0.00269,0.48507,0.53305,0.50822,0.45054,0.57443,1.96316,0.00347,3.5152e-05,3.5152e-05,3.5152e-05
26,630.719,0.65924,1.9315,0.00268,0.49112,0.54255,0.51718,0.45935,0.57071,1.92738,0.00347,2.9575e-05,2.9575e-05,2.9575e-05
27,653.589,0.65861,1.89633,0.00263,0.47583,0.54234,0.51909,0.45997,0.57136,1.90153,0.00347,2.3998e-05,2.3998e-05,2.3998e-05
28,675.044,0.65906,1.89114,0.00262,0.52275,0.52542,0.52046,0.46147,0.57086,1.88412,0.0035,1.8421e-05,1.8421e-05,1.8421e-05
29,697.046,0.65744,1.87439,0.00263,0.49161,0.53428,0.52276,0.46386,0.56706,1.87402,0.00344,1.2844e-05,1.2844e-05,1.2844e-05
30,720.01,0.65083,1.86121,0.0026,0.49403,0.5402,0.52309,0.46435,0.56636,1.86447,0.00344,7.267e-06,7.267e-06,7.267e-06
