epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5872,0.85287,5.01131,0.94233,0.23805,0.13538,0.06285,0.05471,0.62508,4.14048,0.86944,5.60572e-05,5.60572e-05,5.60572e-05
2,33.1531,0.79259,3.6774,0.90687,0.36012,0.23071,0.15056,0.12813,0.63935,3.20817,0.9046,0.000108682,0.000108682,0.000108682
3,48.2495,0.77028,3.00388,0.90582,0.45854,0.30599,0.23244,0.19979,0.60949,2.7338,0.89712,0.000157588,0.000157588,0.000157588
4,63.7995,0.74063,2.54075,0.90966,0.42518,0.37301,0.31358,0.26703,0.61322,2.34241,0.90176,0.000152269,0.000152269,0.000152269
5,78.6056,0.73569,2.30606,0.91456,0.4082,0.43672,0.39329,0.33588,0.6031,2.08538,0.89651,0.000146692,0.000146692,0.000146692
6,93.6966,0.70953,2.12444,0.90239,0.40641,0.52348,0.43442,0.37608,0.58711,1.97928,0.89057,0.000141115,0.000141115,0.000141115
7,108.511,0.69725,1.9852,0.8983,0.55641,0.45992,0.49644,0.42974,0.57244,1.82764,0.89048,0.000135538,0.000135538,0.000135538
8,123.711,0.68864,1.85583,0.89762,0.48764,0.52972,0.51732,0.44701,0.57227,1.74081,0.88436,0.000129961,0.000129961,0.000129961
9,138.312,0.67552,1.7614,0.8983,0.51394,0.56756,0.55635,0.48074,0.56991,1.68729,0.87524,0.000124384,0.000124384,0.000124384
10,153.203,0.66547,1.65021,0.88905,0.67312,0.52128,0.58712,0.5111,0.57021,1.60724,0.88298,0.000118807,0.000118807,0.000118807
11,168.173,0.6766,1.5963,0.89087,0.59473,0.56805,0.60133,0.52549,0.55136,1.53469,0.87189,0.00011323,0.00011323,0.00011323
12,182.894,0.66401,1.5399,0.88281,0.54787,0.62682,0.62207,0.54356,0.54136,1.46513,0.86662,0.000107653,0.000107653,0.000107653
13,197.949,0.65653,1.48416,0.88602,0.65158,0.62367,0.64979,0.5692,0.55332,1.38999,0.87156,0.000102076,0.000102076,0.000102076
14,212.72,0.6517,1.42222,0.88611,0.67945,0.6087,0.66634,0.58467,0.54857,1.33494,0.87205,9.6499e-05,9.6499e-05,9.6499e-05
15,227.673,0.64305,1.35119,0.88109,0.70163,0.61426,0.6789,0.59498,0.54058,1.29868,0.87217,9.0922e-05,9.0922e-05,9.0922e-05
16,242.536,0.63284,1.32185,0.87805,0.709,0.5949,0.68182,0.59899,0.53686,1.27669,0.86799,8.5345e-05,8.5345e-05,8.5345e-05
17,257.431,0.62935,1.28491,0.87421,0.66699,0.66222,0.68278,0.60113,0.53248,1.25652,0.86332,7.9768e-05,7.9768e-05,7.9768e-05
18,272.382,0.62901,1.25277,0.87898,0.74357,0.642,0.71383,0.63005,0.52601,1.17879,0.85706,7.4191e-05,7.4191e-05,7.4191e-05
19,287.59,0.61598,1.20327,0.87559,0.63976,0.67805,0.69528,0.61476,0.52697,1.19283,0.85681,6.8614e-05,6.8614e-05,6.8614e-05
20,302.368,0.61936,1.21962,0.87208,0.72029,0.65804,0.72452,0.64077,0.51983,1.15385,0.85695,6.3037e-05,6.3037e-05,6.3037e-05
21,342.424,0.57417,1.13677,0.85564,0.69704,0.66953,0.72816,0.64004,0.52206,1.14647,0.86001,5.746e-05,5.746e-05,5.746e-05
22,357.106,0.57268,1.10891,0.85226,0.70435,0.68776,0.72945,0.64363,0.52904,1.10548,0.86032,5.1883e-05,5.1883e-05,5.1883e-05
23,372.143,0.56185,1.07113,0.8506,0.71933,0.67213,0.74173,0.65591,0.51302,1.06181,0.85197,4.6306e-05,4.6306e-05,4.6306e-05
24,387.065,0.55933,1.03867,0.84692,0.75033,0.69001,0.75915,0.67298,0.50949,1.0392,0.85282,4.0729e-05,4.0729e-05,4.0729e-05
25,401.621,0.55659,1.02419,0.85166,0.74695,0.71003,0.75635,0.66927,0.50634,1.02172,0.85216,3.5152e-05,3.5152e-05,3.5152e-05
26,416.574,0.55266,1.0012,0.85039,0.80105,0.67744,0.76184,0.67442,0.50551,1.02085,0.85092,2.9575e-05,2.9575e-05,2.9575e-05
27,431.333,0.54802,0.98381,0.84476,0.75792,0.68727,0.76034,0.67362,0.50499,1.00045,0.85093,2.3998e-05,2.3998e-05,2.3998e-05
28,446.156,0.54655,0.97664,0.84881,0.77231,0.68941,0.76392,0.67721,0.50499,0.98814,0.84938,1.8421e-05,1.8421e-05,1.8421e-05
29,461.091,0.5419,0.95877,0.84481,0.71797,0.73062,0.76963,0.68449,0.50209,0.98994,0.84722,1.2844e-05,1.2844e-05,1.2844e-05
30,476.152,0.5426,0.9487,0.84595,0.81775,0.67595,0.76902,0.68271,0.50217,0.98143,0.84789,7.267e-06,7.267e-06,7.267e-06
