epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6499,1.09911,5.00639,1.05057,0.19557,0.11434,0.05576,0.04089,1.05735,4.35603,1.01715,5.60572e-05,5.60572e-05,5.60572e-05
2,33.6939,1.00111,3.69298,0.99348,0.29101,0.25857,0.14924,0.10319,1.11536,3.40294,1.0893,0.000108682,0.000108682,0.000108682
3,48.5991,0.95897,3.08649,0.98624,0.51309,0.22731,0.23373,0.16099,1.14706,2.88372,1.09214,0.000157588,0.000157588,0.000157588
4,64.1484,0.92952,2.68676,0.99531,0.4424,0.32613,0.29956,0.21901,1.02101,2.53327,1.08043,0.000152269,0.000152269,0.000152269
5,78.9563,0.89963,2.44241,0.98103,0.3889,0.41525,0.34811,0.25476,1.01334,2.38322,1.07333,0.000146692,0.000146692,0.000146692
6,93.8395,0.86879,2.28595,0.96984,0.3809,0.47286,0.37974,0.29497,0.84385,2.1588,0.98147,0.000141115,0.000141115,0.000141115
7,108.837,0.84243,2.09377,0.96645,0.48405,0.45094,0.4395,0.35378,0.75179,1.95979,0.9339,0.000135538,0.000135538,0.000135538
8,123.867,0.83076,2.01668,0.95256,0.54619,0.46005,0.48065,0.37394,0.842,1.87134,0.97723,0.000129961,0.000129961,0.000129961
9,138.759,0.81768,1.94087,0.9534,0.58493,0.45637,0.49583,0.40641,0.7192,1.79835,0.9328,0.000124384,0.000124384,0.000124384
10,153.556,0.8034,1.84034,0.94081,0.55199,0.50668,0.52746,0.40739,0.86606,1.73674,0.98393,0.000118807,0.000118807,0.000118807
11,168.5,0.80476,1.77081,0.9459,0.55591,0.55878,0.55896,0.44881,0.75866,1.65472,0.94121,0.00011323,0.00011323,0.00011323
12,183.316,0.78074,1.69867,0.93793,0.62373,0.53149,0.58995,0.48017,0.73342,1.57622,0.93667,0.000107653,0.000107653,0.000107653
13,198.233,0.79576,1.65706,0.94319,0.5236,0.58763,0.58479,0.47857,0.71677,1.55391,0.92345,0.000102076,0.000102076,0.000102076
14,213.007,0.77411,1.58813,0.93317,0.63705,0.54625,0.62025,0.50338,0.73919,1.46066,0.93183,9.6499e-05,9.6499e-05,9.6499e-05
15,227.902,0.76781,1.53835,0.93524,0.56609,0.59588,0.64845,0.52725,0.71944,1.4245,0.91773,9.0922e-05,9.0922e-05,9.0922e-05
16,242.848,0.76528,1.51466,0.93367,0.55581,0.64838,0.63764,0.52304,0.72585,1.42443,0.92557,8.5345e-05,8.5345e-05,8.5345e-05
17,257.897,0.74985,1.44451,0.92576,0.61925,0.62255,0.64196,0.53563,0.6627,1.36367,0.90438,7.9768e-05,7.9768e-05,7.9768e-05
18,272.904,0.74631,1.45254,0.92745,0.59774,0.63046,0.65699,0.54693,0.65571,1.34272,0.89685,7.4191e-05,7.4191e-05,7.4191e-05
19,287.804,0.743,1.3897,0.92568,0.60559,0.65017,0.67288,0.56109,0.66479,1.29119,0.90017,6.8614e-05,6.8614e-05,6.8614e-05
20,302.638,0.74161,1.37403,0.92154,0.64939,0.66069,0.69353,0.57348,0.6921,1.25413,0.9095,6.3037e-05,6.3037e-05,6.3037e-05
21,342.998,0.6702,1.28181,0.89915,0.58843,0.69277,0.69188,0.58157,0.64842,1.25169,0.90006,5.746e-05,5.746e-05,5.746e-05
22,357.578,0.66304,1.24646,0.8953,0.66695,0.68494,0.70424,0.58369,0.70147,1.21889,0.91649,5.1883e-05,5.1883e-05,5.1883e-05
23,372.754,0.65217,1.20263,0.88968,0.62957,0.69416,0.70478,0.58386,0.69734,1.19162,0.91008,4.6306e-05,4.6306e-05,4.6306e-05
24,387.469,0.6455,1.16867,0.88873,0.66919,0.71349,0.71478,0.59737,0.67229,1.17796,0.90527,4.0729e-05,4.0729e-05,4.0729e-05
25,402.125,0.64439,1.15608,0.88957,0.73421,0.655,0.72583,0.60933,0.64367,1.15712,0.89166,3.5152e-05,3.5152e-05,3.5152e-05
26,417.13,0.63446,1.12768,0.8847,0.6876,0.67249,0.71932,0.6099,0.62273,1.13624,0.88435,2.9575e-05,2.9575e-05,2.9575e-05
27,431.925,0.63239,1.11341,0.88316,0.67381,0.70077,0.72667,0.61616,0.6289,1.1156,0.8875,2.3998e-05,2.3998e-05,2.3998e-05
28,446.843,0.63125,1.10923,0.87966,0.72704,0.66914,0.72911,0.6212,0.62463,1.09821,0.88857,1.8421e-05,1.8421e-05,1.8421e-05
29,461.542,0.63477,1.08675,0.88172,0.7183,0.66857,0.73648,0.62301,0.63962,1.10309,0.89123,1.2844e-05,1.2844e-05,1.2844e-05
30,476.851,0.63012,1.07947,0.88331,0.71153,0.6865,0.74003,0.6308,0.61641,1.08673,0.88419,7.267e-06,7.267e-06,7.267e-06
